t,"bin0_[0.000,3.000)","bin1_[3.000,6.000)","bin2_[6.000,9.000)","bin3_[9.000,12.000)","bin4_[12.000,15.000)"
1,0.09290285,0.14250827,0.15598628,0.16843128,0.20657876
2,0.15574792,0.27666423,0.28606763,0.30292824,0.3669816
3,0.21079591,0.37761608,0.39160562,0.4359677,0.5398092
4,0.26140794,0.4968503,0.5067504,0.52262706,0.6944895
5,0.31064516,0.58645654,0.592181,0.652023,0.7966348
6,0.35902146,0.6641905,0.6980711,0.78678775,0.9168942
7,0.40799665,0.7476618,0.82522583,0.92293847,1.0646789
8,0.4584028,0.8595332,0.8925315,0.9702253,1.1686215
9,0.5097557,0.8950308,0.98679876,1.0447346,1.2907474
10,0.5623061,0.9834329,1.0754822,1.0949928,1.3836695
