alpha,ped_num,nn,gamma,collision_rate_percent,speed_m_s,time_ms
Random,1,-,-,17.4,15.00,0
0.15,1,ResNet+Attention,1.0,2.3,10.51,42.751
1,1,ResNet+Attention,1.0,3.8,11.23,34.907
Random,3,-,-,42.1,15.00,0
0.15,3,ResNet+Attention,1.0,7.6,7.05,52.263
1,3,ResNet+Attention,1.0,17.4,8.00,51.808
Random,5,-,-,62.1,15.00,0
0.15,5,ResNet+Attention,1.0,8.9,5.5,56.509
1,5,ResNet+Attention,1.0,23.7,6.34,47.786
Random,7,-,-,74.9,15.00,0
0.15,7,ResNet+Attention,1.0,6.0,4.77,59.850
1,7,ResNet+Attention,1.0,25.3,5.39,55.474
Random,9,-,-,82.3,15.00,0
0.15,9,ResNet+Attention,1.0,4.3,4.47,63.211
1,9,ResNet+Attention,1.0,25.3,4.98,62.219
0.5,1,ResNet+Attention,1.0,3.0,10.91,36.392
0.5,3,ResNet+Attention,1.0,9.5,7.56,63.404
0.5,5,ResNet+Attention,1.0,13.1,5.9,71.241
0.5,7,ResNet+Attention,1.0,12.2,5.07,76.551
0.5,9,ResNet+Attention,1.0,9.9,4.69,80.138
0.25,1,ResNet+Attention,1.0,2.4,10.67,33.865
0.25,3,ResNet+Attention,1.0,8.5,7.23,67.382
0.25,5,ResNet+Attention,1.0,10.7,5.62,77.180
0.25,7,ResNet+Attention,1.0,8.5,4.88,88.126
0.25,9,ResNet+Attention,1.0,6.3,4.55,97.880
APF,1,-,-,15.3,4.02,0.000
APF,3,-,-,19.8,3.03,0.036
APF,5,-,-,14.5,2.41,0.042
APF,7,-,-,7.9,1.68,0.047
APF,9,-,-,4.8,0.98,0.046
